Ciudad,Coordenadas
UBATE,"(5.3515324500000006, -73.80126864809243)"
FUSAGASUGA,"(4.3247005000000005, -74.39135684787772)"
SUBACHOQUE,"(4.9659026, -74.16685812388023)"
RIONEGRO,"(6.1536166, -75.3741691)"
VILLAVICENCIO,"(4.11145945, -73.4967836258948)"
CHOACHI,"(4.5822005, -73.9137287)"
IBAGUE,"(4.4386033, -75.2108857)"
EL ROSAL,"(4.884139, -74.23629913943603)"
SOACHA,"(4.5821413, -74.2197178)"
BOGOTA,"(4.6533816, -74.0836333)"
MOSQUERA,"(4.7002001, -74.2385058)"
PACHO,"(5.1301473, -74.1583128)"
YOPAL,"(5.3356662, -72.3936931)"
SANTUARIO,"(5.0732065, -75.9624682)"
CHIA,"(4.8660334, -74.0306281)"
BOJACÃ,"(4.68792135, -74.32500216127059)"
TUNJA,"(5.5324313, -73.3616014)"
EL RETIRO,"(6.0572745, -75.502611)"
GIRARDOT,"(4.306643, -74.8015665)"
CAQUEZA,"(4.4057096, -73.9459215)"
MADRID,"(4.736726, -74.2654685)"
FUNZA,"(4.7177471, -74.2031547)"
ZIPAQUIRA,"(5.0234748, -74.0039818)"
CAJICA,"(4.9360114, -74.03211632810394)"
FACATATIVA,"(4.8097276, -74.3541838)"
ABEJORRAL,"(5.7914299, -75.4270381)"
MARINILLA,"(6.1736417, -75.3346548)"
LA VEGA,"(4.9997123, -74.3395223)"
CARMEN DE VIBORAL,"(6.0833063, -75.3353501)"
TOCANCIPA,"(4.97370995, -73.92117979871541)"
ANOLAIMA,"(4.7616096, -74.4649986)"
SOPO,"(4.8931442, -73.95341365530066)"
SUESCA,"(5.1033413, -73.7990059)"
COTA,"(4.8093624, -74.1015739)"
GUATAPE,"(6.2342179, -75.1617452)"
LA CEJA,"(5.98430825, -75.44752287622777)"
ESPINAL,"(4.1503044, -74.8845895)"
